locale/slug,en,cn
ide/toolbar/add-to-profile/tooltip/user,Save,保存
ide/toolbar/add-to-profile/tooltip/clone,Clone,复制
ide/toolbar/quirkbots-area/tooltip,Upload,上传
ide/toolbar/program/authorship,by,by
ide/toolbar/status/pending,,
ide/toolbar/status/success,Saved!,已经保存！
ide/toolbar/status/fail,Error saving.,保存失败！
ide/toolbar/quirbot-detector/detected/header,Ready,Ready
ide/toolbar/quirbot-detector/detected/label,Click to upload original program,Click to upload original program
ide/toolbar/quirbot-detector/not-detected/header,Not detected,Not detected
ide/toolbar/quirbot-detector/not-detected/label,Click here to find the problem,Click here to find the problem
IDE - Quirkbots Area -----------------------------------------------,,
ide/quirkbots-area/dialog/header,CODE Upload,上传
ide/quirkbots-area/dialog/quirkbots/header,Select a Quirkbot,选择一个Quirkbot
ide/quirkbots-area/dialog/quirkbots/description,,
ide/quirkbots-area/dialog/quirkbots/dismiss,Cancel,取消
ide/quirkbots-area/dialog/quirkbots/confirm,Upload,上传
ide/quirkbots-area/dialog/quirkbots/single-quirkbot/name,Quirkbot,Quirkbot
ide/quirkbots-area/dialog/quirkbots/single-quirkbot/id,sn,序列号
ide/quirkbots-area/dialog/quirkbots/single-quirkbot/bootloader,Recovery Mode,修复模式
ide/quirkbots-area/dialog/quirkbots/uploading/header,Uploading...,上传中...
ide/quirkbots-area/dialog/quirkbots/uploading/description,Please don't disconnect your Quirkbot.,请不要断开连接！
ide/quirkbots-area/dialog/quirkbots/uploading/dismiss,Cancel,取消
ide/quirkbots-area/dialog/quirkbots/upload-success/header,Yay! CODE uploaded!,好了！代码上传成功！
ide/quirkbots-area/dialog/quirkbots/upload-success/description,,
ide/quirkbots-area/dialog/quirkbots/upload-success/confirm,Close,关闭
ide/quirkbots-area/dialog/quirkbots/upload-fail/header,Upload failed :(,上传失败 :(
ide/quirkbots-area/dialog/quirkbots/upload-fail/connection-error,Ops... there seems to have a problem with the internet connection.,貌似网络连接有问题哦.
ide/quirkbots-area/dialog/quirkbots/upload-fail/bad-response,We are having problems connecting to the server. Please try again.,无法连接到服务器. 请再试一次.
ide/quirkbots-area/dialog/quirkbots/upload-fail/compilation-error,"Ops... There seems to be an error on your code, please revise it and try again.","貌似您的代码有问题, 请修改并重新试一次."
ide/quirkbots-area/dialog/quirkbots/upload-fail/memory-overflow,Whoa there cowboy! Your program is too big to fit on the Quirkbot's memory! Try removing some nodes. ,我的天! 您的程序太负责了，放不进Quirkbot了! 请尝试删除一些Node吧。
ide/quirkbots-area/dialog/quirkbots/upload-fail/uploader-description,"Weird... something went wrong.<br><br>If the problem persists, try enabling <a href='{% assign arg1='recovery-mode' %}{% include f_print_page_url %}' target=_blank>Recovery Mode</a>.",奇怪了，什么东西出了问题.<br><br>如果问题依旧存在，请使用 <a href='{% assign arg1='recovery-mode' %}{% include f_print_page_url %}' target=_blank>修复模式</a>.
ide/quirkbots-area/dialog/quirkbots/upload-fail/dismiss,Cancel,取消
ide/quirkbots-area/dialog/quirkbots/upload-fail/retry,Retry,重试
ide/quirkbots-area/dialog/warning/wrong-browser/header,Browser not supported,浏览器不支持
ide/quirkbots-area/dialog/warning/wrong-browser/description,CODE Upload requires <i>Google Chrome™</i>.,代码上传需要 <i>Google Chrome™</i>.
ide/quirkbots-area/dialog/warning/wrong-browser/dismiss,Cancel,取消
ide/quirkbots-area/dialog/warning/wrong-browser/confirm,Get Chrome,获取Chrome
ide/quirkbots-area/dialog/warning/no-browser-dependencies/header,Dependencies missing,依赖文件丢失
ide/quirkbots-area/dialog/warning/no-browser-dependencies/description,Please install the dependencies in order to be able to access Quirkbots.,请安装这些观念文件以保证可以访问Quirkbot
ide/quirkbots-area/dialog/warning/no-browser-dependencies/dismiss,Cancel,取消
ide/quirkbots-area/dialog/warning/no-browser-dependencies/confirm,Install,安装
ide/quirkbots-area/dialog/warning/no-browser-dependencies/error/unhanlded,"There was an error installing, please try again",本次安装出现了错误，请重试
ide/quirkbots-area/dialog/warning/no-browser-dependencies/error/user-cancelled,"<b>Installation failed, please try again.</b><br>Click on the <i>Add app</i> button when the installation dialog appears.",<b>安装失败，请重试。</b><br>点击<i>增加 应用</i> 按钮 当安装对话框出现时。
ide/quirkbots-area/dialog/warning/no-browser-dependencies/error/webstore,"It seems that you can't access the Chrome Web Store. This could be a problem with your internet connection, or you could be in a country where Google's servers are blocked.<br><br>If you know Google is blocked, please <a href='https://s3.amazonaws.com/quirkbot-downloads-production/downloads/quirkbot-chrome-app-latest.zip' target='_blank'>download the app</a> and follow the <a href='https://developer.chrome.com/extensions/getstarted#unpacked' target='_blank'>guide to install it manually</a>.<br><br>If the problem may be on your internet connection, please try again when you are online.","看样子你无法访问Chrome商店. 这有可能是您的网络连接有问题, 或者您所在的国家屏蔽了谷歌服务.<br><br>如果您确认谷歌服务被屏蔽了 <a href='https://s3.amazonaws.com/quirkbot-downloads-production/downloads/quirkbot-chrome-app-latest.zip' target='_blank'>下载这个应用</a> 并且按照 <a href='https://developer.chrome.com/extensions/getstarted#unpacked' target='_blank'>说明来手动安装</a>.<br><br>如果问题是网络原因，请您重试。"
ide/quirkbots-area/dialog/warning/no-browser-dependencies/error/webstore/manual-installation/,Install manually,手动安装
ide/quirkbots-area/dialog/warning/no-quirkbots/header,No Quirkbots detected,没有发现Quirkbots
ide/quirkbots-area/dialog/warning/no-quirkbots/description,"Is your Quirkbot is turned ON and connected to a working USB port?<br><br>If the problem persists, try enabling <a href='{% assign arg1='recovery-mode' %}{% include f_print_page_url %}' target=_blank>Recovery Mode</a>.",您的Quikbot是否已打开并连接到usb接口了?<br><br>如果问题依然存在，请尝试 <a href='{% assign arg1='recovery-mode' %}{% include f_print_page_url %}' target=_blank>修复模式</a>.
ide/quirkbots-area/dialog/warning/no-quirkbots/dismiss,Cancel,取消
ide/quirkbots-area/dialog/warning/no-serial-permission/header,Update Linux settings,更新Linux设置
ide/quirkbots-area/dialog/warning/no-serial-permission/description,"Copy and paste the script bellow in terminal, and hit enter. You will need the <b>administrator password</b> and after to <b>restart the computer</b>.<br><br><pre>wget -nv https://s3.amazonaws.com/quirkbot-downloads-production/downloads/quirkbot-linux-installer-latest.sh -O - | sh</pre>","复制并粘贴在下面出现的脚背, 并点击回车键. 会需要你输入 <b>管理员密码</b> 并且 <b>重启电脑</b>.<br><br><pre>wget -nv https://s3.amazonaws.com/quirkbot-downloads-production/downloads/quirkbot-linux-installer-latest.sh -O - | sh</pre>"
ide/quirkbots-area/dialog/warning/no-serial-permission/dismiss,Cancel,取消
ide/quirkbots-area/dialog/warning/windows-drivers/description,Have you installed the drivers?<br><a href='https://s3.amazonaws.com/quirkbot-downloads-production/downloads/quirkbot-windows-drivers-latest.exe' target='blank'>Download Windows drivers</a>,您是否已经安装了驱动程序?<br><a href='https://s3.amazonaws.com/quirkbot-downloads-production/downloads/quirkbot-windows-drivers-latest.exe' target='blank'>下载windows驱动程序</a>
ide/quirkbots-area/dialog/dismiss,Cancel,Cancel
ide/quirkbots-area/dialog/confirm,OK,OK
IDE - Warnings Overlay ---------------------------------------------,,
ide/warnings/setup/offline/title,Can't open CODE,打开代码失败
ide/warnings/setup/offline/header,Connection error,连接失败
ide/warnings/setup/offline/description,Are you offline? We can't reach our servers...,您是否离线？我们无法连接到服务器...
ide/warnings/setup/offline/continue,Create new CODE,创建新的代码
ide/warnings/setup/not-found/title,Can't open CODE,打开代码失败
ide/warnings/setup/not-found/header,CODE not found,代码未找到
ide/warnings/setup/not-found/description,The CODE you are trying to access doesn't exist.,您要找的代码不存在
ide/warnings/setup/not-found/continue,Create new CODE,创建新的代码
ide/warnings/setup/no-user/title,Limited access,受限制的访问
ide/warnings/setup/no-user/header,You are not logged in,您尚未登录
ide/warnings/setup/no-user/description,"You can continue as a guest, but you won't be able to save any CODE.",您可以在不登陆状态继续使用，但您的代码无法保存。
ide/warnings/setup/no-user/cancel,Continue as guest,作为访客继续
ide/warnings/setup/no-user/continue,Log in,登陆
ide/warnings/setup/no-user/continue/link,/,/
ide/warnings/setup/forbidden/title,Can't load CODE,无法读取代码
ide/warnings/setup/forbidden/header,Access denied,拒绝访问
ide/warnings/setup/forbidden/description,"Your session has expired, please log in again before continuing.","您的上一次登陆已经过期, 请在继续前重新登陆."
ide/warnings/setup/forbidden/cancel,Cancel,取消
ide/warnings/setup/forbidden/continue,Log in,登陆
ide/warnings/setup/forbidden/continue/link,/,/
ide/warnings/sync/offline/title,Can't sync CODE,无法同步代码
ide/warnings/sync/offline/header,Connection error,连接错误
ide/warnings/sync/offline/description,Are you offline? We can't reach our servers...,您是否离线？我们无法连接到服务器...
ide/warnings/sync/offline/cancel,Close,关闭
ide/warnings/sync/CONNECTION_REFUSED/title,Cannot sync CODE,无法读取代码
ide/warnings/sync/CONNECTION_REFUSED/header,Connection error,连接错误
ide/warnings/sync/CONNECTION_REFUSED/description,Are you offline? We can't reach our servers...,您是否离线？我们无法连接到服务器...
ide/warnings/sync/CONNECTION_REFUSED/cancel,close,关闭
ide/warnings/sync/AUTH_GRANT/title,Can't sync CODE,无法同步代码
ide/warnings/sync/AUTH_GRANT/header,Access denied,拒绝访问
ide/warnings/sync/AUTH_GRANT/description,"Your session has expired, please log in again before continuing.","您的上一次登陆已经过期, 请在继续前重新登陆."
ide/warnings/sync/AUTH_GRANT/cancel,Close,关闭
ide/warnings/sync/AUTH_GRANT/continue,Log in,登陆
ide/warnings/sync/AUTH_GRANT/continue/link,/,/
ide/warnings/sync/forbidden/title,Can't sync CODE,无法同步代码
ide/warnings/sync/forbidden/header,Access denied,拒绝访问
ide/warnings/sync/forbidden/description,This CODE does not belong to you.,此代码并不属于您
ide/warnings/sync/forbidden/cancel,close,关闭
ide/warnings/sync/NOT_CONFIRMED/title,Access denied,拒绝访问
ide/warnings/sync/NOT_CONFIRMED/header,Your email is not cofirmed,您的邮箱并未认证
ide/warnings/sync/NOT_CONFIRMED/description,You can only sync your CODE after your email is confirmed.,您必须在您的邮箱认证后才能同步代码。
ide/warnings/sync/NOT_CONFIRMED/cancel,Close,关闭
CATEGORIES ---------------------------------------------------------,,
category/backpack,Backpack,背包
category/brains,Brains,大脑
category/input,Input,Input
category/output,Output,Output
category/connect,Connect,连接
category/usb,USB,USB
TAGS ---------------------------------------------------------------,,
tag/beginner,Beginner,初学者
tag/advanced,Advanced,高手
tag/simple,Simple,简单
NODES --------------------------------------------------------------,,
node/name/analog-sensor,Analog Sensor,模拟传感器
node/name/buzzer,Buzzer,蜂鸣器
node/name/makey-touch,Circuit Touch,触摸
node/name/continuous-servo,Continuous Servo,伺服器
node/name/converter,Converter,转换器
node/name/dual-color-led,Dual Color LED,双色 LED
node/name/gate,Gate,门
node/name/ir-proximity,IR Proximity,红外感应
node/name/key-press,Key Press,按键
node/name/key-sequence,Key Sequence,按键顺序
node/name/led,LED,LED
node/name/light-sensor,Light Sensor,光强感应
node/name/list,List,列表
node/name/randomizer,Randomizer,随机器
node/name/sequence,Sequence,顺序器
node/name/servo-motor,Servo Motor,伺服电机
node/name/sonar,Sonar,声波定位
node/name/squeeze-sensor,Squeeze Sensor,挤压传感器
node/name/voltage-output,Voltage Output,电压输出
node/name/wave,Wave,波形
CONNECTIONS --------------------------------------------------------,,
node/connection/name/in,in,输入
node/connection/name/out,out,输出
node/connection/name/light,light,光
node/connection/name/color,color,颜色
node/connection/name/items,items,物品
node/connection/name/place,place,地点
node/connection/name/position,position,位置
node/connection/name/sensitivity,sensitivity,敏感度
node/connection/name/speed,speed,速度
node/connection/name/direction,direction,方向
node/connection/name/duration,duration,占空比
node/connection/name/length,length,长度
node/connection/name/meters,meters,表
node/connection/name/interval,interval,间隔
node/connection/name/type,type,方式
node/connection/name/min,min,最小
node/connection/name/max,max,最大
node/connection/name/inMin,in min,输入（最小值）
node/connection/name/inMax,in max,输入(最大值)
node/connection/name/outMin,out min,输出（最小值）
node/connection/name/outMax,out max,输出(最大值)
node/connection/name/trigger,trigger,触发
node/connection/name/key,key,按键
node/connection/name/note,note,注意
node/connection/name/holdTime,hold time,持续时间
node/connection/name/offset,offset,抵消
node/connection/name/channel,channel,通道
DATALISTS ----------------------------------------------------------,,
node/connection/datalist/sine-wave,Sine,正弦波
node/connection/datalist/square-wave,Square,方波
node/connection/datalist/triangle-wave,Triangle,三角波
node/connection/datalist/pulse-wave,Pulse,脉冲波
node/connection/datalist/ramp-up-wave,Ramp Up,坡上
node/connection/datalist/ramp-down-wave,Ramp Down,坡下
node/connection/datalist/servo-bp1,Servo Motor 1,伺服电机1
node/connection/datalist/servo-bp2,Servo Motor 2,伺服电机2
node/connection/datalist/no-location,No Location,无位置
node/connection/datalist/place-left-eye,Left eye,左眼
node/connection/datalist/place-right-eye,Right eye,右眼
node/connection/datalist/place-left-mouth,Left mouth,左嘴
node/connection/datalist/place-right-mouth,Right mouth,右嘴
node/connection/datalist/place-horn,Horn,角
node/connection/datalist/place-left-arm,Left arm,左手
node/connection/datalist/place-right-arm,Right arm,右手
node/connection/datalist/place-left-leg,Left leg,左脚
node/connection/datalist/place-right-leg,Right leg,右脚
node/connection/datalist/place-horn-front,Horn Front,角（正面）
node/connection/datalist/place-left-arm-front,Left Arm Front,左手（正面）
node/connection/datalist/place-right-arm-front,Right Arm Front,右手（正面）
node/connection/datalist/place-left-leg-front,Left Leg Front,左脚(正面)
node/connection/datalist/place-right-leg-front,Right Leg Front,右脚(正面)
node/connection/datalist/place-horn-back,Horn Back,角（反面）
node/connection/datalist/place-left-arm-back,Left Arm Back,左手(反面)
node/connection/datalist/place-right-arm-back,Right Arm Back,右手(反面)
node/connection/datalist/place-left-leg-back,Left Leg Back,左脚(反面)
node/connection/datalist/place-right-leg-back,Right Leg Back,右脚(反面)
node/connection/datalist/place-backpack-1,Backpack 1,背包1
node/connection/datalist/place-backpack-2,Backpack 2,背包2
node/connection/datalist/place-backpack-3,Backpack 3,背包3
node/connection/datalist/place-backpack-4,Backpack 4,背包4
node/connection/datalist/place-backpack-5,Backpack 5,背包5
node/connection/datalist/place-backpack-6,Backpack 6,背包6
node/connection/datalist/no-note,No note,No note
node/connection/datalist/note-a1,A1,A1
node/connection/datalist/note-as1,A#1,A#1
node/connection/datalist/note-b1,B1,B1
node/connection/datalist/note-c2,C2,C2
node/connection/datalist/note-cs2,C#2,C#2
node/connection/datalist/note-d2,D2,D2
node/connection/datalist/note-ds2,D#2,D#2
node/connection/datalist/note-e2,E2,E2
node/connection/datalist/note-f2,F2,F2
node/connection/datalist/note-fs2,F#2,F#2
node/connection/datalist/note-g2,G2,G2
node/connection/datalist/note-gs2,G#2,G#2
node/connection/datalist/note-a2,A2,A2
node/connection/datalist/note-as2,A#2,A#2
node/connection/datalist/note-b2,B2,B2
node/connection/datalist/note-c3,C3,C3
node/connection/datalist/note-cs3,C#3,C#3
node/connection/datalist/note-d3,D3,D3
node/connection/datalist/note-ds3,D#3,D#3
node/connection/datalist/note-e3,E3,E3
node/connection/datalist/note-f3,F3,F3
node/connection/datalist/note-fs3,F#3,F#3
node/connection/datalist/note-g3,G3,G3
node/connection/datalist/note-gs3,G#3,G#3
node/connection/datalist/note-a3,A3,A3
node/connection/datalist/note-as3,A#3,A#3
node/connection/datalist/note-b3,B3,B3
node/connection/datalist/note-c4,C4,C4
node/connection/datalist/note-cs4,C#4,C#4
node/connection/datalist/note-d4,D4,D4
node/connection/datalist/note-ds4,D#4,D#4
node/connection/datalist/note-e4,E4,E4
node/connection/datalist/note-f4,F4,F4
node/connection/datalist/note-fs4,F#4,F#4
node/connection/datalist/note-g4,G4,G4
node/connection/datalist/note-gs4,G#4,G#4
node/connection/datalist/note-a4,A4,A4
node/connection/datalist/note-as4,A#4,A#4
node/connection/datalist/note-b4,B4,B4
node/connection/datalist/note-c5,C5,C5
node/connection/datalist/note-cs5,C#5,C#5
node/connection/datalist/note-d5,D5,D5
node/connection/datalist/note-ds5,D#5,D#5
node/connection/datalist/note-e5,E5,E5
node/connection/datalist/note-f5,F5,F5
node/connection/datalist/note-fs5,F#5,F#5
node/connection/datalist/note-g5,G5,G5
node/connection/datalist/note-gs5,G#5,G#5
node/connection/datalist/note-a5,A5,A5
node/connection/datalist/note-as5,A#5,A#5
node/connection/datalist/note-b5,B5,B5
node/connection/datalist/note-c6,C6,C6
node/connection/datalist/note-cs6,C#6,C#6
node/connection/datalist/note-d6,D6,D6
node/connection/datalist/note-ds6,D#6,D#6
node/connection/datalist/note-e6,E6,E6
node/connection/datalist/note-f6,F6,F6
node/connection/datalist/note-fs6,F#6,F#6
node/connection/datalist/note-g6,G6,G6
node/connection/datalist/note-gs6,G#6,G#6
node/connection/datalist/note-a6,A6,A6
node/connection/datalist/note-as6,A#6,A#6
node/connection/datalist/note-b6,B6,B6
node/connection/datalist/note-c7,C7,C7
node/connection/datalist/note-cs7,C#7,C#7
node/connection/datalist/note-d7,D7,D7
node/connection/datalist/note-ds7,D#7,D#7
node/connection/datalist/note-e7,E7,E7
node/connection/datalist/note-f7,F7,F7
node/connection/datalist/note-fs7,F#7,F#7
node/connection/datalist/note-g7,G7,G7
node/connection/datalist/note-gs7,G#7,G#7
node/connection/datalist/note-a7,A7,A7
node/connection/datalist/note-as7,A#7,A#7
node/connection/datalist/note-b7,B7,B7
node/connection/datalist/note-c8,C8,C8
node/connection/datalist/note-cs8,C#8,C#8
node/connection/datalist/note-d8,D8,D8
node/connection/datalist/note-ds8,D#8,D#8
node/connection/datalist/no-key,No key,No key
node/connection/datalist/key-0,0,0
node/connection/datalist/key-1,1,1
node/connection/datalist/key-2,2,2
node/connection/datalist/key-3,3,3
node/connection/datalist/key-4,4,4
node/connection/datalist/key-5,5,5
node/connection/datalist/key-6,6,6
node/connection/datalist/key-7,7,7
node/connection/datalist/key-8,8,8
node/connection/datalist/key-9,9,9
node/connection/datalist/key-a,A,A
node/connection/datalist/key-b,B,B
node/connection/datalist/key-c,C,C
node/connection/datalist/key-d,D,D
node/connection/datalist/key-e,E,E
node/connection/datalist/key-f,F,F
node/connection/datalist/key-g,G,G
node/connection/datalist/key-h,H,H
node/connection/datalist/key-i,I,I
node/connection/datalist/key-j,J,J
node/connection/datalist/key-k,K,K
node/connection/datalist/key-l,L,L
node/connection/datalist/key-m,M,M
node/connection/datalist/key-n,N,N
node/connection/datalist/key-o,O,O
node/connection/datalist/key-p,P,P
node/connection/datalist/key-q,Q,Q
node/connection/datalist/key-r,R,R
node/connection/datalist/key-s,S,S
node/connection/datalist/key-t,T,T
node/connection/datalist/key-u,U,U
node/connection/datalist/key-v,V,V
node/connection/datalist/key-w,W,W
node/connection/datalist/key-x,X,X
node/connection/datalist/key-y,Y,Y
node/connection/datalist/key-z,Z,Z
node/connection/datalist/key-left_ctrl,Left CTRL,左CTRL
node/connection/datalist/key-left_shift,Left SHIFT,左SHIFT
node/connection/datalist/key-left_alt,Left ALT,左 ALT
node/connection/datalist/key-left_gui,Left GUI,左 GUI
node/connection/datalist/key-right_ctrl,Right CTRL,右 CTRL
node/connection/datalist/key-right_shift,Right SHIFT,右 SHIFT
node/connection/datalist/key-right_alt,Right ALT,右 ALT
node/connection/datalist/key-right_gui,Right GUI,右GUI
node/connection/datalist/key-up,Up,Up
node/connection/datalist/key-down,Down,Down
node/connection/datalist/key-left,Left,Left
node/connection/datalist/key-right,Right,Right
node/connection/datalist/key-backspace,Backspace,Backspace
node/connection/datalist/key-tab,Tab,Tab
node/connection/datalist/key-return,Return,Return
node/connection/datalist/key-esc,ESC,ESC
node/connection/datalist/key-insert,Insert,Insert
node/connection/datalist/key-delete,Delete,Delete
node/connection/datalist/key-page_up,Page up,Page up
node/connection/datalist/key-page_down,Page down,Page down
node/connection/datalist/key-home,Home,Home
node/connection/datalist/key-end,End,End
node/connection/datalist/key-caps_lock,Caps lock,Caps lock
node/connection/datalist/key-f1,F1,F1
node/connection/datalist/key-f2,F2,F2
node/connection/datalist/key-f3,F3,F3
node/connection/datalist/key-f4,F4,F4
node/connection/datalist/key-f5,F5,F5
node/connection/datalist/key-f6,F6,F6
node/connection/datalist/key-f7,F7,F7
node/connection/datalist/key-f8,F8,F8
node/connection/datalist/key-f9,F9,F9
node/connection/datalist/key-f10,F10,F10
node/connection/datalist/key-f11,F11,F11
node/connection/datalist/key-f12,F12,F12
node/connection/datalist/key-space,SPACE,SPACE
node/connection/datalist/key-exclamation_point,!,!
node/connection/datalist/key-double_quotes,"""",""""
node/connection/datalist/key-number_sign,#,#
node/connection/datalist/key-dollar_sign,$,$
node/connection/datalist/key-percent_sign,%,%
node/connection/datalist/key-ampersand,&,&
node/connection/datalist/key-single_quote,','
node/connection/datalist/key-opening_parenthesis,(,(
node/connection/datalist/key-closing_parenthesis,),)
node/connection/datalist/key-asterisk,*,*
node/connection/datalist/key-plus_sign,+,+
node/connection/datalist/key-comma,",",","
node/connection/datalist/key-minus_sign,-,-
node/connection/datalist/key-period,.,.
node/connection/datalist/key-slash,/,/
node/connection/datalist/key-colon,:,:
node/connection/datalist/key-semicolon,;,;
node/connection/datalist/key-less_than_sign,<,<
node/connection/datalist/key-equal_sign,=,=
node/connection/datalist/key-greater_than_sign,>,>
node/connection/datalist/key-question_mark,?,?
node/connection/datalist/key-at_symbol,@,@
node/connection/datalist/key-opening_bracket,[,[
node/connection/datalist/key-backslash,\,\
node/connection/datalist/key-closing_bracket,],]
node/connection/datalist/key-caret,^,^
node/connection/datalist/key-underscore,_,_
node/connection/datalist/key-grave_accent,`,`
node/connection/datalist/key-opening_brace,{,{
node/connection/datalist/key-vertical_bar,|,|
node/connection/datalist/key-closing_brace,},}
node/connection/datalist/key-tilde,~,~
node/connection/datalist/no-channel,No Channel,No Channel
node/connection/datalist/channel-1,Channel 1,Channel 1
node/connection/datalist/channel-2,Channel 2,Channel 2
node/connection/datalist/channel-3,Channel 3,Channel 3
node/connection/datalist/channel-4,Channel 4,Channel 4
REGISTER ----------------------------------------------------------------------------,,
register/registration/call-to-action,Join,加入
register/registration/error/E_VALIDATION,There are errors in the inputs.,输入有误
register/registration/error/CONNECTION_REFUSED,"Quirkbot CODE is having problems connecting to the servers, please try again later.",Quirkbot CODE无法连接到服务器，请稍后重试。
register/registration/age/label,How old are you?,您的年龄是?
register/registration/age/placeholder,,
register/registration/age/error/pre-validation,"For legal reasons, we need to know your age.",因为法律原因，我们需要知道您的年龄.
register/registration/age/error/required,"For legal reasons, we need to know your age.",因为法律原因，我们需要知道您的年龄.
register/registration/nickname/label,Nickname,您的用户名
register/registration/nickname/placeholder,,
register/registration/nickname/tip,Pick a nickname that doesn't give away your real name.,建议您使用用户名而不是真实姓名.
register/registration/nickname/error/pre-validation,Nickname is required.,用户名是必须的.
register/registration/nickname/error/required,Nickname is required.,用户名是必须的.
register/registration/nickname/error/uniqueNickname,This nickname was already taken.,此用户名已被使用.
register/registration/country/label,Country,国家
register/registration/country/placeholder,,
register/registration/country/tip,,
register/registration/country/error/pre-validation,Country is required.,国家信息是必须的.
register/registration/country/error/required,Country is required.,国家信息是必须的.
register/registration/country/error/in,Invalid country,无效的国家信息
register/registration/email/label,E-mail,电子邮箱
register/registration/email/placeholder,,
register/registration/email/tip,,
register/registration/email/error/pre-validation,E-mail is invalid.,电子邮箱地址无效
register/registration/email/error/email,E-mail is invalid.,电子邮箱地址无效
register/registration/email/error/required,E-mail  is required.,电子邮箱地址信息是必须的
register/registration/email/error/uniqueEmail,This e-mail is already registered.,此电子邮箱已被注册
register/registration/copa-notice,"Since you are under 13 years old, you cannot use Quirkbot CODE without the consent of your parents or guardians.<br>Enter their e-mail below and we will send them an email to confirm this account.","因为您未到13岁, 您必须在家长或监护人陪伴下才能使用 Quirkbot CODE .<br>请将他们的email地址填写在下方，我们会发送邮件向他们核实，谢谢."
register/registration/guardian-email/label,Parent's or guardian's e-mail,家长/监护人的电子邮箱地址
register/registration/guardian-email/placeholder,,
register/registration/guardian-email/tip,,
register/registration/guardian-email/error/pre-validation,Parent's or guardian's e-mail is invalid.,家长/监护人的电子邮箱地址无效
register/registration/guardian-email/error/required,Parent's or guardian's e-mail is required.,家长/监护人的电子邮箱地址是必须的
register/registration/guardian-email/error/email,Parent's or guardian's e-mail is invalid.,家长/监护人的电子邮箱地址无效
